Status Frequencies: (Lowest to highest)
1 , 403
16 , 206
105 , 301
109 , 302
110 , 404
657 , 304
9002 , 200
IP Frequencies: (Highest to lowest)
272 , 10.3.3.22
271 , 10.3.3.11
157 , 10.1.1.1
90 , 35.158.136.181
75 , 166.216.157.122
72 , 35.158.136.118
71 , 67.177.224.69
64 , 34.195.252.80
63 , 86.73.76.57
57 , 189.244.234.143
57 , 34.195.252.29
56 , 34.195.252.2
53 , 34.195.252.75
49 , 84.109.241.117
49 , 13.59.250.49
42 , 13.59.250.21
42 , 79.46.130.200
41 , 52.56.127.79
36 , 98.186.253.84
35 , 13.59.250.32
34 , 35.167.191.161
34 , 45.51.164.200
31 , 108.24.0.69
31 , 98.233.123.220
31 , 35.162.63.218
26 , 75.53.175.73
26 , 187.157.182.99
25 , 173.239.236.39
25 , 52.56.127.110
25 , 35.167.191.133
24 , 99.144.77.181
23 , 40.77.167.22
23 , 72.14.199.20
23 , 207.46.13.208
23 , 96.18.158.16
21 , 99.228.203.151
21 , 10.3.3.26
20 , 108.193.4.125
20 , 10.3.3.25
20 , 34.195.252.135
19 , 157.55.39.152
19 , 34.226.14.247
19 , 187.217.237.226
19 , 70.68.165.83
18 , 192.222.166.44
18 , 104.1.226.76
18 , 184.99.123.147
17 , 204.246.174.97
17 , 195.201.23.173
17 , 104.35.168.11
17 , 67.198.12.40
16 , 50.92.182.89
16 , 157.55.39.145
15 , 50.201.223.66
15 , 71.53.154.193
15 , 108.94.12.154
15 , 96.42.160.145
14 , 209.52.254.122
14 , 208.91.15.178
14 , 209.58.178.145
14 , 174.211.0.252
14 , 174.7.20.244
14 , 10.3.3.28
14 , 34.195.252.45
14 , 35.184.236.163
14 , 65.212.180.152
13 , 74.208.84.132
13 , 37.29.196.147
13 , 54.241.32.112
13 , 67.185.225.170
13 , 76.26.182.55
13 , 35.158.136.25
13 , 184.53.49.32
13 , 76.94.67.26
13 , 68.57.109.103
12 , 34.195.252.112
12 , 54.248.220.48
12 , 173.34.56.112
12 , 66.228.162.32
12 , 99.95.157.136
12 , 75.130.109.190
12 , 66.249.79.116
12 , 75.18.184.225
12 , 68.173.52.147
12 , 162.205.12.226
12 , 10.3.3.27
12 , 70.129.186.188
12 , 98.119.145.74
12 , 24.126.7.173
12 , 98.115.154.16
12 , 72.160.58.185
12 , 70.65.241.89
12 , 54.183.255.144
12 , 96.74.84.205
11 , 76.27.124.84
11 , 162.199.34.121
11 , 54.251.31.144
11 , 74.104.130.163
11 , 173.178.147.151
11 , 54.228.16.16
11 , 54.244.52.208
11 , 173.32.62.33
11 , 47.185.102.225
11 , 174.76.20.43
11 , 187.141.139.214
11 , 68.111.184.246
11 , 23.116.70.125
11 , 47.144.152.119
11 , 174.208.19.47
11 , 54.243.31.240
11 , 99.229.147.117
11 , 172.58.12.222
10 , 54.255.254.240
10 , 68.204.76.40
10 , 47.208.189.166
10 , 173.239.240.51
10 , 65.74.121.102
10 , 54.250.253.240
10 , 73.170.91.67
10 , 84.201.133.64
10 , 184.66.136.151
10 , 107.23.255.16
10 , 73.54.127.11
10 , 54.252.254.208
10 , 54.245.168.48
10 , 24.226.249.32
10 , 73.110.70.25
10 , 71.68.60.58
URL Frequencies: (Highest to lowest)
4458 , /tv/live.php
543 , /f5.txt"
463 , /
397 , /styles/com.stockcharts.workbench.sc/scui.css
355 , /styles/com.stockcharts.workbench.sc/scui.js
245 , /freecharts/gallery.html
169 , /freecharts/pnf.php
163 , /favicon.ico
83 , /search/app.019477ab0f4961cedb7c.bundle.js
81 , /h-hd/
79 , /search/
70 , /search/vendor.b875c988cd2aa905c574.bundle.js
70 , /freecharts/candleglance.html
70 , /login/
60 , /search/common.7db6c57a0fb1cae7e18c.bundle.js
58 , /css/selectric-custom.css
57 , /images/button_less.gif
56 , /css/dashboard.css
50 , /css/favorites.css
49 , /styles/favorites_universal.js
48 , /freecharts/perf.php
40 , /images/greenGrad.gif
35 , /images/redGrad.gif
32 , /css/datatable-fa-scc.css
30 , /login/index.php
30 , /login
27 , /scripts/php/scclogin.php
27 , /freecharts/groups.json
23 , /freecharts/
22 , /styles/com.stockcharts.workbench.sc/scui729.js
22 , /members/admin/mmesemaphore.json
20 , /freecharts/seasonality.php
19 , /articles/
19 , /freecharts/rrg/rrg.css
19 , /img/scc-store-logo-blue.png
19 , /blogs/atom.xml
18 , /articles/chande/2018/05/top-trending-small-cap-stocks-and-etfs.html
17 , /articles/articles.php
17 , /members/analysis/20180511-1.html
16 , /logout/
16 , /articles/decisionpoint/2018/05/dp-weekly-wrap-spy-new-buy-signal.html
15 , /img/chartwatchers/cw-logo-dark.png
15 , /members/analysis/images/2018/20180511004-sc.png
14 , /charts/gallery.html
14 , /robots.txt
14 , /apple-touch-icon-precomposed.png
14 , /images/loyaltybadge0.gif
13 , /images/stockcharts_icon.png
13 , /images/jquery.colorpicker.hs.png
13 , /members/analysis/images/2018/20180511003-sc.png
13 , /members/analysis/images/2018/20180511005-sc.png
13 , /images/jquery.colorpicker.arrow.gif
12 , /members/analysis/images/2018/20180511002-sc.png
12 , /members/analysis/images/2018/20180511001-sc.png
12 , /images/jquery.colorpicker.cross.gif
12 , /img/tasc-archives.png
11 , /index.html
10 , /articles/rss.gif
10 , /search/$%7BimageUrl%7D
10 , /apple-touch-icon-120x120-precomposed.png
10 , /styles/com.stockcharts.workbench.sc/sc_sprites.gif
